FinalEikonID,Name,FiscalYear,Ticker,ISIN,Region,CountryHQ,CF1_log_estimated,CF2_log_estimated
LEDE.BA,Ledesma SAAI,2021,LEDE3,ARP624571096,Latin America & the Caribbean,Argentina,3435076.6503935074,215897.75414645224
HARG.BA,Holcim Argentina SA,2021,HARG3,ARP6806N1051,Latin America & the Caribbean,Argentina,9235316.455403462,1101200.2851839922
MOLI.BA,Molinos Rio de la Plata SA,2021,MOLI3,ARP689251337,Latin America & the Caribbean,Argentina,510576.4546372705,244202.93163860583
CEPU.BA,Central Puerto SA,2021,CEPU3,ARP2354W1188,Latin America & the Caribbean,Argentina,45598986.10170293,108212.78805196677
TECO2.BA,Telecom Argentina SA,2021,TECO23,ARP9028N1016,Latin America & the Caribbean,Argentina,283521.7129632057,1847251.7564948287
YPFD.BA,YPF SA,2021,YPFD3,ARP9897X1319,Latin America & the Caribbean,Argentina,100582557.50727336,4330966.281460569
BMA.BA,Banco Macro SA,2021,BMA3,ARBANS010010,Latin America & the Caribbean,Argentina,10243.99250152332,58398.84912722281
GGAL.BA,Grupo Financiero Galicia SA,2021,GGAL3,ARP495251018,Latin America & the Caribbean,Argentina,16441.891493221327,125874.47291188512
GCLA.BA,Grupo Clarin SA,2021,GCLA3,ARGCLA010015,Latin America & the Caribbean,Argentina,32245.43508519982,164259.42836448603
GCLA.BA,Grupo Clarin SA,2021,GCLA3,ARGCLA010015,Latin America & the Caribbean,Argentina,32245.43508519982,164259.42836448603
GCLA.BA,Grupo Clarin SA,2021,GCLA3,ARGCLA010015,Latin America & the Caribbean,Argentina,32245.43508519982,164259.42836448603
GCLA.BA,Grupo Clarin SA,2021,GCLA3,ARGCLA010015,Latin America & the Caribbean,Argentina,32245.43508519982,164259.42836448603
EDN.BA,Empresa Distribuidora y Comercializadora Norte SA,2021,EDN3,ARENOR010020,Latin America & the Caribbean,Argentina,1134045.8456360917,79558.97331913095
TX.N,Ternium SA,2021,TX,US8808901081,Europe and Central Asia,Luxembourg,165580277.76000422,16253857.385797497
TGSU2.BA,Transportadora de Gas del Sur SA,2021,TGSU23,ARP9308R1039,Latin America & the Caribbean,Argentina,26220241.21174006,57509.27621101968
PAMP.BA,Pampa Energia SA,2021,PAMP3,ARP432631215,Latin America & the Caribbean,Argentina,35947800.79636958,394566.1285415311
CBA.AX,Commonwealth Bank of Australia,2021,CBA,AU000000CBA7,East Asia and Pacific,Australia,56493.6151388952,634338.3796132029
BKW.AX,Brickworks Ltd,2021,BKW,AU000000BKW4,East Asia and Pacific,Australia,3362858.327696031,862675.4709174428
BOQ.AX,Bank of Queensland Ltd,2021,BOQ,AU000000BOQ8,East Asia and Pacific,Australia,2370.762646243586,38707.010529494604
MAH.AX,Macmahon Holdings Ltd,2021,MAH,AU000000MAH3,East Asia and Pacific,Australia,23152.095225650202,15852.534718900828
SUN.AX,Suncorp Group Ltd,2021,SUN,AU000000SUN6,East Asia and Pacific,Australia,22536.540459687578,144124.52481963555
ILU.AX,Iluka Resources Ltd,2021,ILU,AU000000ILU1,East Asia and Pacific,Australia,2770652.9049440776,1540627.7126928328
ELD.AX,Elders Ltd,2021,ELD,AU000000ELD6,East Asia and Pacific,Australia,85975.41198123596,72816.86899724377
AMI.AX,Aurelia Metals Ltd,2021,AMI,AU000000AMI1,East Asia and Pacific,Australia,518484.8146029191,183298.39631086498
WOW.AX,Woolworths Group Ltd,2021,WOW,AU000000WOW2,East Asia and Pacific,Australia,3933701.9860133063,14987538.550317857
