category;scope;category_name;RMSE;MSE;MAE;MAPE;R2;StandardDeviation
SectorName;CF1_log;10;0.704290021;0.496024434;0.480236863;0.09321378;0.592389127;0.690645741
SectorName;CF1_log;40;0.587840138;0.345556028;0.425721638;0.229387242;0.642223288;0.583680323
SectorName;CF1_log;50;0.525867435;0.276536559;0.398792229;0.120706174;0.670930935;0.525520809
SectorName;CF1_log;20;0.475941469;0.226520282;0.324368879;0.078484101;0.832182636;0.475745876
SectorName;CF1_log;30;0.38581211;0.148850984;0.258226647;0.056346671;0.800988389;0.385750606
SectorName;CF1_log;15;0.388657981;0.151055027;0.279759405;0.050950029;0.858685846;0.388617966
SectorName;CF1_log;35;0.464151617;0.215436723;0.329080892;0.680901431;0.819357295;0.463908124
SectorName;CF1_log;60;0.676679904;0.457895693;0.532684621;0.170212979;0.644823104;0.670873263
SectorName;CF1_log;45;0.567613105;0.322184637;0.376406666;0.801000828;0.748681136;0.567606017
SectorName;CF1_log;55;0.798868889;0.638191501;0.596771377;0.132176089;0.743044269;0.795248992
SectorName;CF1_log;25;0.500497737;0.250497984;0.352212459;0.100276888;0.7698404;0.499438824
Region;CF1_log;Latin America & the Caribbean;0.628106518;0.394517797;0.419303897;0.109938159;0.829166722;0.627765199
Region;CF1_log;East Asia and Pacific;0.573584374;0.328999034;0.409385794;0.132955369;0.835732648;0.568829114
Region;CF1_log;Europe and Central Asia;0.481986024;0.232310528;0.342079282;0.159348329;0.895551022;0.480583529
Region;CF1_log;North America;0.597191844;0.356638099;0.390877628;0.480458276;0.786870648;0.596784242
Region;CF1_log;Middle East and North Africa;0.469146001;0.22009797;0.338216925;0.07531309;0.854672783;0.459276786
Region;CF1_log;South Asia;0.477787629;0.228281018;0.324161355;0.084008005;0.913561746;0.460828841
Region;CF1_log;Sub-Saharan Africa;0.625125371;0.390781729;0.468790764;0.134324183;0.63809006;0.615536341
Revenuebuckets;CF1_log;7;0.465291262;0.216495959;0.327016126;0.067949116;0.869900758;0.46525193
Revenuebuckets;CF1_log;4;0.51498399;0.26520851;0.355950098;0.086939542;0.821811572;0.514537176
Revenuebuckets;CF1_log;0;0.809162123;0.654743342;0.615817001;1.043441031;0.550072543;0.799975915
Revenuebuckets;CF1_log;2;0.589170989;0.347122455;0.426892325;0.127198246;0.799324666;0.588422958
Revenuebuckets;CF1_log;5;0.432846502;0.187356094;0.294985373;0.066299936;0.826629468;0.43067511
Revenuebuckets;CF1_log;9;0.325748622;0.106112165;0.246408726;0.048335544;0.948336917;0.324332879
Revenuebuckets;CF1_log;1;0.641905739;0.412042978;0.4740698;0.167816506;0.689487678;0.63751652
Revenuebuckets;CF1_log;8;0.415806164;0.172894766;0.280322764;0.055968001;0.863938701;0.415795726
Revenuebuckets;CF1_log;3;0.605920005;0.367139052;0.425519914;0.127070544;0.761102715;0.604668097
Revenuebuckets;CF1_log;6;0.436417657;0.190460372;0.324135755;0.069189267;0.846690398;0.430220984
SubSector;CF1_log;Integrated Oil & Gas;0.229146926;0.052508314;0.187496259;0.026094806;0.51074826;0.22413766
SubSector;CF1_log;Diversified Banks;0.614231276;0.37728006;0.488316696;0.18893428;0.195868154;0.607544749
SubSector;CF1_log;Broadcasting;0.337260737;0.113744805;0.26005481;0.089238933;0.733567888;0.293179801
SubSector;CF1_log;Regional Banks;0.651696323;0.424708098;0.555238393;0.207674878;0.454071085;0.641037388
SubSector;CF1_log;Diversified Support Services;0.474649357;0.225292012;0.43393055;0.095723739;-0.098318067;0.405324385
SubSector;CF1_log;Human Resource & Employment Services;0.424957452;0.180588836;0.359275256;0.105101302;0.746459895;0.424857493
SubSector;CF1_log;Personal Products;0.266241397;0.070884482;0.189607755;0.054300958;0.765296012;0.264496174
SubSector;CF1_log;Diversified Metals & Mining;0.472857214;0.223593944;0.340969515;0.058400678;0.831386781;0.403821032
SubSector;CF1_log;Health Care Equipment;0.348201932;0.121244586;0.227789889;0.10719982;0.810173547;0.332746156
SubSector;CF1_log;Integrated Telecommunication Services;0.346527485;0.120081298;0.239488694;0.062440853;0.576935402;0.30511863
SubSector;CF1_log;Diversified REITs;0.779797792;0.608084596;0.674287455;0.247352997;0.20813655;0.778947571
SubSector;CF1_log;Oil & Gas Refining & Marketing;0.714441424;0.510426549;0.53019846;0.088604013;0.331789971;0.710905552
SubSector;CF1_log;Construction Materials;0.342874056;0.117562619;0.235130906;0.035843108;0.790667445;0.323669716
SubSector;CF1_log;Food Retail;0.516239957;0.266503693;0.372031226;0.074178499;0.261121406;0.512579945
SubSector;CF1_log;Gold;0.359950643;0.129564465;0.247802734;0.050523478;0.807723255;0.359636001
SubSector;CF1_log;Oil & Gas Exploration & Production;1.311575487;1.720230258;0.847132488;0.329472077;0.146882172;1.22000636
SubSector;CF1_log;Office REITs ;0.720474392;0.51908335;0.522571642;0.188893173;-0.29915948;0.712420171
SubSector;CF1_log;Data Processing & Outsourced Services;0.620891344;0.385506061;0.482950065;0.220557945;0.183350848;0.601298017
SubSector;CF1_log;Oil & Gas Equipment & Services;0.716626733;0.513553874;0.538943287;0.095339316;0.347149145;0.562282186
SubSector;CF1_log;Life & Health Insurance;0.586624422;0.344128213;0.43926757;0.119448356;0.484613674;0.581397514
SubSector;CF1_log;Other Diversified Financial Services;0.828960347;0.687175257;0.721288479;0.746738232;0.613871125;0.815840426
SubSector;CF1_log;Diversified Chemicals;0.275528705;0.075916068;0.218374018;0.037187253;0.806593886;0.268206863
SubSector;CF1_log;Airlines;0.147683165;0.021810317;0.121262721;0.01786259;0.745871635;0.143156164
SubSector;CF1_log;Steel;0.458960647;0.210644876;0.283993093;0.046911771;0.786947141;0.458892652
SubSector;CF1_log;Airport Services;0.40460115;0.163702091;0.34448297;0.079042645;-0.358927293;0.403289872
SubSector;CF1_log;Semiconductors;0.357928626;0.128112901;0.247983743;0.051396112;0.771549119;0.354986508
SubSector;CF1_log;Electric Utilities;0.603036865;0.36365346;0.482477784;0.084063197;0.828763221;0.600739181
SubSector;CF1_log;Electronic Components;0.363256591;0.131955351;0.259253843;0.05449723;0.837530219;0.339089335
SubSector;CF1_log;Distributors;0.624548714;0.390061096;0.538227913;0.117642267;-0.407779401;0.622989845
SubSector;CF1_log;Health Care REITs ;0.569437653;0.324259241;0.481362974;0.107088364;-1.406052711;0.304218553
SubSector;CF1_log;Electronic Equipment & Instruments ;0.341717474;0.116770832;0.288352264;0.085836806;0.668479676;0.341717063
SubSector;CF1_log;Construction & Engineering;0.510641941;0.260755192;0.306638426;0.058120567;0.615616056;0.480263135
SubSector;CF1_log;Specialty Chemicals;0.289270633;0.083677499;0.227026207;0.041430387;0.894884617;0.185339446
SubSector;CF1_log;Oil & Gas Storage & Transportation;0.84590589;0.715556775;0.551607425;0.089899807;0.390611405;0.751045726
SubSector;CF1_log;Homebuilding;0.525016212;0.275642023;0.385729568;0.096315776;0.65872135;0.523884414
